Age,AgeGroup,Department,JobRole,Gender,MaritalStatus,OverTime,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,YearsAtCompany,YearsSinceLastPromotion,TotalWorkingYears,JobLevel,BusinessTravel,Attrition,AttritionBinary,Cluster,ClusterLabel
41,36-45,Sales,Sales Executive,Female,Single,Yes,5993,4,2,1,3,6,0,8,2,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
49,46-55,Research & Development,Research Scientist,Male,Married,No,5130,2,3,3,2,10,1,10,2,Travel_Frequently,No,0,1,Loyal Mid-Career
37,36-45,Research & Development,Laboratory Technician,Male,Single,Yes,2090,3,4,3,2,0,0,7,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
33,26-35,Research & Development,Research Scientist,Female,Married,Yes,2909,3,4,3,3,8,3,8,1,Travel_Frequently,No,0,2,Burnt-Out & Overworked
27,26-35,Research & Development,Laboratory Technician,Male,Married,No,3468,2,1,3,3,2,2,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
32,26-35,Research & Development,Laboratory Technician,Male,Single,No,3068,4,4,2,3,7,3,8,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
59,56-65,Research & Development,Laboratory Technician,Female,Married,Yes,2670,1,3,2,4,1,0,12,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
30,26-35,Research & Development,Laboratory Technician,Male,Divorced,No,2693,3,4,3,3,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
38,36-45,Research & Development,Manufacturing Director,Male,Single,No,9526,3,4,3,2,9,1,10,3,Travel_Frequently,No,0,1,Loyal Mid-Career
36,36-45,Research & Development,Healthcare Representative,Male,Married,No,5237,3,3,2,3,7,7,17,2,Travel_Rarely,No,0,1,Loyal Mid-Career
35,26-35,Research & Development,Laboratory Technician,Male,Married,No,2426,2,1,3,4,5,0,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
29,26-35,Research & Development,Laboratory Technician,Female,Single,Yes,4193,3,4,3,2,9,0,10,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
31,26-35,Research & Development,Research Scientist,Male,Divorced,No,2911,3,1,2,3,5,4,5,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
34,26-35,Research & Development,Laboratory Technician,Male,Divorced,No,2661,4,2,3,3,2,1,3,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
28,26-35,Research & Development,Laboratory Technician,Male,Single,Yes,2028,3,3,3,2,4,0,6,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
29,26-35,Research & Development,Manufacturing Director,Female,Divorced,No,9980,1,2,3,4,10,8,10,3,Travel_Rarely,No,0,1,Loyal Mid-Career
32,26-35,Research & Development,Research Scientist,Male,Divorced,Yes,3298,2,1,2,4,6,0,7,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
22,18-25,Research & Development,Laboratory Technician,Male,Divorced,Yes,2935,4,4,2,4,1,0,1,1,Non-Travel,No,0,2,Burnt-Out & Overworked
53,46-55,Sales,Manager,Female,Married,No,15427,4,1,3,2,25,3,31,4,Travel_Rarely,No,0,0,Stable Senior
38,36-45,Research & Development,Research Scientist,Male,Single,Yes,3944,4,4,3,3,3,1,6,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
24,18-25,Research & Development,Manufacturing Director,Female,Divorced,No,4011,3,1,2,4,4,1,5,2,Non-Travel,No,0,3,At-Risk Mid-Level
36,36-45,Sales,Sales Representative,Male,Single,No,3407,1,3,3,2,5,0,10,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
34,26-35,Research & Development,Research Director,Female,Single,No,11994,2,1,3,3,12,2,13,3,Travel_Rarely,No,0,1,Loyal Mid-Career
21,18-25,Research & Development,Research Scientist,Male,Single,No,1232,4,3,3,3,0,0,0,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
34,26-35,Research & Development,Research Scientist,Male,Single,No,2960,1,2,3,3,4,1,8,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
53,46-55,Research & Development,Manager,Female,Divorced,No,19094,3,3,2,3,14,4,26,5,Travel_Rarely,No,0,0,Stable Senior
